Course,SLO,Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer
BLAW300,LO2,Q3BLAWLO2:D,"ABC, Inc. agreed to sell XYZ, Inc. 1 million boxes of widgets at $1 a box. ABC, Inc. delivered the widgets to XYZ, Inc., who refused to pay. ABC, Inc. brought a breach of contract case against XYZ, Inc. Which of the following elements of a contract must ABC, Inc. prove in order to demonstrate to the court that a valid, enforceable contract existed:","offer, acceptance, consideration, capacity, and remedy.","offer, consideration, capacity, legality, and the statute of frauds.","acceptance, consideration, capacity, legality, and performance.","offer, acceptance, consideration, capacity, and legality of purpose.",,D
BLAW300,LO3,Q1BLAWLO3:D,Which of the following is NOT an essential element of negligence?,Existence of a duty of care owed by the defendant to the plaintiff.,Unreasonable behavior by the defendant that breaches the duty.,Proximate (or in fact) causation and an actual injury.,All of these are essential elements of negligence.,,D
BLAW300,LO3,Q2BLAWLO3:D,What is the difference between punitive damages and compensatory damages?,"Compensatory damages are limited to $250,000 per person. Punitive damages are limited to $1,000,000 per person. These amounts were mandated by the Uniform Torts Act (UTA).","Compensatory damages make an example of the defendant, while punitive damages reimburse for injuries suffered by the plaintiff.",Compensatory damages are only awarded for negligence. Punitive damages are only awarded for strict liability claims.,"Punitive damages make an example of the defendant, while compensatory damages reimburse for injuries suffered by the plaintiff.",,D
BLAW300,LO3,Q3BLAWLO3:D,"Mary sues ABC, Inc. under the law of product liability. Which of the following is a true statement:",A design defect in a product occurs during the manufacturing or production phase of the product.,Strict liability for unreasonably dangerous products is called Negligence.,Only a manufacturer of a defective product can be held liable under product liability law.,A defective product is a product that is unreasonably dangerous to the consumer.,,D
BLAW300,LO4,Q1BLAWLO4:D,Which of the following is a true statement:,The United States Constitution creates three branches of government at the federal level: executive; legislative; and judicial.,"Under the doctrine of Judicial Review, the judiciary is the guardian of the United States Constitution and can review laws or executive actions and declare them unconstitutional.",Judicial Restraint and Judicial Activism are two different philosophies a judge may use to interpret the law.,All of these statements are true.,,D
BLAW300,LO4,Q2BLAWLO4:D,A court ruled in a judicial decision that it must rely upon and follow precedent. This is called:,The doctrine of judicial review.,The doctrine of jurisprudence.,The doctrine of respondent superior.,The doctrine of stare decisis.,,D
BLAW300,LO4,Q3BLAWLO4:D,In the United States legal system:,The United States Constitution is the highest source of law.,Both federal and state courts exist to hear and decide cases.,"In both the federal and state court systems, appeals courts exist to review trial courts' decisions.",All of these statements are true.,,D
BLAW300,LO5,Q1BLAWLO5:A,"Delltrix Corp., a customer support provider, needs operators who are bilingual in English and Spanish. A few applicants of Spanish origin are rejected because of their poor English language proficiency. The applicants file a disparate impact case with the Equal Employment Opportunity Commission against Delltrix on the grounds of discrimination based on nationality. Which of the following defenses is Delltrix most likely to use in this case?",The business necessity defense.,The defense of undue hardship.,The comparative negligence defense.,The assumption-of-risk defense.,,A
BLAW300,LO5,Q2BLAWLO5:A,"GVB Inc., a consulting firm, hires Zainab, who is a Muslim. In order to avoid discriminating against Zainab based on her religion, GVB:",Must make reasonable accommodation to her religious needs.,Must do whatever it takes in order to avoid any discussion on the topic of religion.,Must make work-related adjustments to suit her religious needs even if they create undue hardship.,Need not accommodate her religious needs as religious discrimination suits only apply to religious corporations.,,A
BLAW300,LO5,Q3BLAWLO5:A,The Americans with Disabilities Act:,"Requires employers with 15 or more employees to make a reasonable accommodation for covered employees, up to an undue hardship","Requires employers with over 500 employees to use all methods and techniques to accommodate employees with disabilities, irrespective of cost.","Puts a dollar limit on reasonable accommodations for any employer at $1,000 per employee.","Was enacted in 1943, as an acknowledgement of Franklin Roosevelt’s physical disabilities, but remarkable “abilities” to lead our nation out of a depression.",,A
ECON200,LO1,Q1ECON200LO1:D,Opportunity cost is best defined as:,"A cost that cannot be avoided, regardless of what is done in the future.",The additional cost of producing an additional unit of output.,The additional cost of buying an additional unit of a product.,"That which we forgo, or give up, when we make a choice or a decision.",,D
ECON200,LO1,Q2ECON200LO1:D,Profit-maximizing firms choose quantities such that:,Total revenue is maximized.,Price is greater than their average total cost.,The average total cost is minimized.,The marginal revenue from sales equals the marginal cost of production.,,D
ECON200,LO1,Q3ECON200LO1:D,"According to the law of demand, quantity demanded increases as__________, ceteris paribus.",demand increases,demand decreases,prices rise,prices fall,,D
ECON200,LO2,Q1ECON200LO2:C,"If price increases in a market, but more consumers purchase the product, which of the following is a possible cause?","Supply increased, ceteris paribus.","Supply decreased, ceteris paribus.","Demand increased, ceteris paribus.","Demand decreased, ceteris paribus",,C
ECON200,LO2,Q2ECON200LO2:C,When quantity demanded equals quantity supplied:,there must be no government intervention in the market.,the demand curve must be the same as the supply curve.,the market is in equilibrium.,all of the above.,,C
ECON200,LO2,Q3ECON200LO2:C,"When there is an excess demand (i.e., a shortage) of a product in an unregulated market, the tendency is for:",quantity supplied to decrease.,quantity demanded to increase.,price to rise.,price to decrease.,,C
ECON200,LO3,Q1ECON200LO3:A,"If the government places an excise tax on the buyers in the market below, which of the following is true?","The buyers and sellers, depending their relative elasticities, share the burden of the tax.",The burden of the tax falls on the buyers since they are the side of the market upon whom the tax is levied.,The burden of the tax falls on the sellers since they will collect the tax on the buyers’ behalf.,The government will be burdened most as they are tasked with collecting the tax.,,A
ECON200,LO3,Q2ECON200LO3:A,The loss in consumer and producer surplus caused by the inability of the market to reach equilibrium is called:,Deadweight loss.,Fixed costs.,Diminishing product of labor.,Opportunity cost.,,A
ECON200,LO3,Q3ECON200LO3:A,Imperfect competition and market power:,are major sources of inefficiency.,result in higher output than in perfect competition.,are always the result of product differentiation.,result from diseconomies of scale.,,A
ECON201,LO1,Q1ECON201LO1:A,Nominal GDP rises faster than real GDP when _____.,prices are rising.,prices are falling.,real GDP is below potential GDP.,real GDP is above potential GDP.,,A
ECON201,LO1,Q2ECON201LO1:A,Cyclical unemployment is closely associated with ______.,short-run ups and downs of the economy.,long-term economic growth.,fluctuations in the natural rate of unemployment.,changes in the minimum wage.,,A
ECON201,LO1,Q3ECON201LO1:A,Inflation is best defined as an increase in ______.,the average price level.,the real price of a good or service.,the price of one product relative to the price of another product.,the average number of times a dollar is spent on final goods and services in a year.,,A
ECON201,LO2,Q1ECON201LO2:D,Suppose that an economy is in short run equilibrium at an output level below potential GDP. To achieve potential GDP the Federal Reserve could ______.,increase taxes.,increase government purchases.,sell treasury securities to increase the money supply.,buy government securities to increase money supply.,,D
ECON201,LO2,Q2ECON201LO2:D,"Ceteris paribus, an increase in government spending would ______.","shift the aggregate demand curve left, which causes GDP to decrease.","shift the aggregate supply curve left, which causes GDP to decrease.","shift the aggregate supply curve right, which causes GDP to increase.","shift the aggregate demand curve right, which causes GDP to increase.",,D
ECON201,LO2,Q3ECON201LO2:D,Assume the government is considering different policies to increase total expenditures in order to reduce unemployment. Which of the following would achieve this objective?,Decreasing taxes.,Increasing government spending.,Increasing transfer payments.,All of the above are correct.,,D
ECON300,LO1,Q1ECON300LO1:B,One consideration when thinking of business cultures across countries is:,they generally have no basis in fact,"in every society, many people will follow the norms, but others will deviate from them",they will always lead you down the wrong path in managing people and marketing,each person closely follows his or her country’s cultural norms,,B
ECON300,LO1,Q2ECON300LO1:B,Cross-cultural literacy refers to,An individual’s self-concept envied from perceived membership in a relevant social group,An understanding of how cultural differences can affect business,The phenomenon of merging and converging cultures,"Abstract ideas about what a group believes to be good, right, and desirable",,B
ECON300,LO1,Q3ECON300LO1:B,"When you propose a contract to individuals from a high context country like Japan, they are more likely to:",tell you exactly what they like and do not like about the proposal,be offended by an open rejection to a counter-offer they may propose,provide more explicit oral cues than non-explicit or non-oral cues,want to get right down to business rather than develop a relationship with you,,B
ECON300,LO2,Q1ECON300LO2:C,"Resources Required to Produce 1 Ton Food Textiles Israel 15 20 Jordan 10 4 In the above example,",the countries will not engage in trade,Israel exports textiles and in return for Jordanian food,Israel exports food in return for Jordanian textiles,Israel exports both goods,,C
ECON300,LO2,Q2ECON300LO2:C,A U.S. tariff on imports of TVs will:,increase U.S. consumption of a good,reduce U.S. production of TVs,increase the domestic price of TVs,make U.S. TV consumers better off,,C
ECON300,LO2,Q3ECON300LO2:C,Import quotas,hurt domestic producers but benefit domestic consumers,hurt both domestic producers and domestic consumers,benefit domestic producers but hurt domestic consumers,benefit both domestic producers and domestic consumers,,C
ECON300,LO3,Q1ECON300LO3:C,"Porter's suggested four attributes making up the ""diamond"" consist of factor endowments, relating and supporting industries, firm strategy and structure, and ________.",capitalism,mercantilism,demand conditions,competitive advantage,,C
ECON300,LO3,Q2ECON300LO3:C,A firm is more likely to engage in foreign direct investment when,Transportation costs to a country are lower,Production does not involve secret know-how,"The firm needs tight control over manufacturing, marketing and strategy",The firm’s special capabilities can be easily adopted by other firms,,C
ECON300,LO3,Q3ECON300LO3:C,"Hansen produces high quality bonding for metallurgy companies. Its success depends on hands-on highly technical and high quality production in close contact with their clients. Hansen has decided that selling in Europe will be lucrative, but (1) the venture is going to be costly, and it does not have deep financial pockets, and (2) it has no network of contacts with the European manufacturers who would be its customers. There are a number of European companies that are similar, though not identical, to Hansen. Given this information, their best strategy for entry appears to be:",Licensing their technique to a European firm,Setting up a wholly-owned venture in Europe,Setting up a joint venture with a European firm,Exporting to Europe,,C
ECON300,LO4,Q1ECON300LO4:A,"According to Purchasing Power Parity theory, if inflation in Argentina is 4% and in the U.S. is 12%, eventually the price of the peso relative to the dollar will:",rise by 8%,fall by 8%,rise by 16%,fall by 16%,,A
ECON300,LO4,Q2ECON300LO4:A,"Suppose the yield on a 1-year bond in Singapore is 5%. The current exchange rate for Singapore dollars is PSGD = USD .50 and the 1-year forward rate is PSGD = USD .55. If you send money from the U.S. to Singapore for the one year, your approximate return will be, in U.S. terms,",15%,10%,5%,-10%,,A
ECON300,LO4,Q3ECON300LO4:A,"If the interest rate in the United States is 10 percent and in Japan it is 6 percent, according to the International Fisher Effect, we would expect the value of the dollar to:",Depreciate by 4 percent against the yen.,Appreciate by 4 percent against the yen.,Depreciate by 10 percent against the yen.,Appreciate by 10 percent against the yen.,,A
FINC300,LO1,Q1FINC300LO1:A,Interest earned on both the initial principal and the interest reinvested from prior periods is called:,Compound Interest,Dual interest,Simple interest,Mutual interest,,A
FINC300,LO1,Q2FINC300LO1:A,"What is the present value of $150,000 to be received 10 years from today if the discount rate is 11%?","$52,827.67","$61,147.07","$64,141.41","$69,806.18",,A
FINC300,LO1,Q3FINC300LO1:A,"What is the future value of $6,000 invested for 23 years at 9% interest compounded annually?","$43,547.25","$41,009.13","$38,663.15","$18,420.00",,A
FINC300,LO2,Q1FINC300LO2:B,Mary just purchased a bond which pays $60 a year in interest. What is this $60 called?,Face value,Coupon payment,Discount,Maturity date,,B
FINC300,LO2,Q2FINC300LO2:B,"Bert owns a bond that will pay him $75 each year in interest plus a $1,000 principal payment at maturity. What is the $1,000 called?",Coupon payment,Face value,Discount,Yield to maturity,,B
FINC300,LO2,Q3FINC300LO2:B,"Grand Adventure Properties offers a bond with annual coupon payments of $95. The yield to maturity is 10% and the maturity date is 11 years from today. The face value (par value) of the bond is $1,000. Which of the following would be the correct process to value this bond?",Find the PV of the face value and subtract the PV of the annual coupon payments,Find the PV of the annual coupon payments and add the PV of the face value,Find the PV of the annual coupon payments,Find the PV of the face value,,B
FINC300,LO3,Q1FINC300LO3:C,What are the distributions to shareholders by a corporation called?,Retained earnings,Net income,Dividends,Capital payments,,C
FINC300,LO3,Q2FINC300LO3:C,The underlying assumption of the dividend growth model is that a stock is worth:,The same amount to every investor regardless of their desired rate of return,An amount computed as the next annual dividend divided by the dividend growth rate,The present value of the future cash flows which the stock generates,The same amount as any other stock that pays the same current dividend and has the same required return,,C
FINC300,LO3,Q3FINC300LO3:C,Free Motion Enterprises just paid a $2.00 per share annual dividend (D0=$2.00). Dividends are expected to increase by 3% annually. What is one share of this stock worth to you today if your required return is 12%?,$16.67,$22.22,$22.89,$66.67,,C
FINC300,LO4,Q1FINC300LO4:A,"A project has an initial cost of $27,400 and the present value of its cash inflows is $32,600. What is the difference between these two values called?",Net present value (NPV),Internal rate of return (IRR),Payback period,Profitability index,,A
FINC300,LO4,Q2FINC300LO4:A,Which of the following are definite indicators of an accept decision for an independent project with conventional cash flows?,NPV > 0 and IRR > required return,NPV > 0 and IRR < required return,NPV < 0 and IRR < required return,NPV required return,,A
FINC300,LO4,Q3FINC300LO4:A,Which one of the following is generally considered to be the best form of analysis if you have to select a single method to analyze a variety of investment opportunities?,Net present value (NPV),Internal rate of return (IRR),Payback period,Profitability index,,A
FINC300,LO5,Q1FINC300LO5:D,"_______ is risk that influences a large number of assets, while ________ is risk that affects at most a small number of assets.",Unsystematic risk; total risk,Systematic risk; total risk,Unsystematic risk; systematic risk,Systematic risk; unsystematic risk,,D
FINC300,LO5,Q2FINC300LO5:D,The principle of diversification tells us that:,Concentrating an investment in two or three large stocks will eliminate all of the unsystematic risk,Concentrating an investment in three companies all within the same industry will greatly reduce the systematic risk,Spreading an investment across many diverse assets will eliminate all of the systematic risk,Spreading an investment across many diverse assets will eliminate some of the total risk,,D
FINC300,LO5,Q3FINC300LO5:D,The risk-free rate of return is 3% and the expected return on the market is 8%. What is the expected rate of return on a stock with a beta of 1.5?,16.5%,15.0%,11.0%,10.5%,,D
MGMT200,LO1,Q1MGMT200LO1:B,"Planning, organizing, leading, and controlling are known as:",The four key aspects of leadership,The four essential functions of managers,The four goals of organizational structure,The primary strategic forces,,B
MGMT200,LO1,Q2MGMT200LO1:B,"Which essential function of managers is defined as “arranging tasks, people, and other resources to accomplish the work”?",Planning,Organizing,Controlling,Staffing,,B
MGMT200,LO1,Q3MGMT200LO1:B,Managers are tasked with pursuing organizational goals:,Quickly and effectively,Efficiently and effectively,Flexibly and appropriately,Individually and inexpensively,,B
MGMT200,LO2,Q1MGMT200LO2:D,"In the context of management, planning is best described as:",Telling inspiring stories to employees,Understanding and addressing employee turnover,Developing a mission statement and sending it to all employees,Setting goals and determining how to achieve them,,D
MGMT200,LO2,Q2MGMT200LO2:D,Which of the following is an example of a manager carrying out the planning function?,Elijah uses spreadsheets to analyze last quarter’s sales.,Anya gives an inspiring speech about the importance of the company’s social initiatives to her direct reports,"Jayden meets with her direct report, Donald, to provide feedback about his recent job performance",Imani decides that her salespeople should prioritize selling cell phones over tablets during the next quarter,,D
MGMT200,LO2,Q3MGMT200LO2:D,Which of the following is NOT an example of a manager carrying out the planning function?,George sets specific sales goals for each division for the next quarter,Francesca decides to reallocate staff to focus on an emerging customer segment she believes is a promising growth opportunity for her company,Jacob makes the decision to eliminate a product line that has been underperforming over the last year,"Desiree fires her employee, Ben, because of some unethical actions he has taken",,D
MGMT200,LO3,Q1MGMT200LO3:B,"In the context of management, leading is best described as:","Arranging tasks, people, and other resources to accomplish the organization’s work","Motivating, directing, and otherwise influencing people to work hard to achieve the organization’s goals","Monitoring performance, comparing it with goals, and taking corrective action as needed",Serving as the figurehead of the organization in interactions with customers and the media,,B
MGMT200,LO3,Q2MGMT200LO3:B,Managers who effectively fulfill the leading function successfully motivate employees to:,Pursue their own goals,Pursue the organization’s goals,Change the organization’s goals,Understand competitors’ goals,,B
MGMT200,LO3,Q3MGMT200LO3:B,Which of the following is NOT an example of the leading function of management?,Influencing people to work hard,Setting the organization’s goals,Effectively motivating employees,Directing employees in the completion of their work,,B
MGMT200,LO4,Q1MGMT200LO4:C,"In the context of management, organizing is best described as:",Setting goals and deciding how to achieve them,"Monitoring performance, comparing it with goals, and taking corrective actions as needed","Arranging tasks, people, and other resources to accomplish the organization’s work",Planning specific organizational events,,C
MGMT200,LO4,Q2MGMT200LO4:C,Which of the following is an example of the organizing function of management?,Collecting data and providing feedback on the organization’s performance,Developing the organization’s goals,Creating a structure and environment that allows employees to work together to achieve the organization’s goals,Motivating employees with inspiring stories,,C
MGMT200,LO4,Q3MGMT200LO4:C,Which of the following is NOT an example of the organizing function of management?,Tom puts employees in teams to work on specific projects,Rhonda develops budgets to allocate to the different teams she manages,Harriet gives regular performance feedback to her direct reports,Stefan assigns product management responsibilities to cross functional teams of employees,,C
MGMT200,LO5,Q1MGMT200LO5:D,"In the context of management, controlling is best described as:",Setting goals and deciding how to achieve them,"Arranging tasks, people, and other resources to accomplish the organization’s work",Developing new business lines,"Monitoring performance, comparing it with goals, and taking corrective action as needed",,D
MGMT200,LO5,Q2MGMT200LO5:D,Which of the following is an example of the controlling function of management?,Bob hires several temporary employees in advance of the holiday sales rush.,Maria decides to reorganize the finance and accounting functions to allow for better collaboration,David develops a new line of business,Janelle reviews sales data for the last quarter to determine if the organization hit its goal.,,D
MGMT200,LO5,Q3MGMT200LO5:D,"After reviewing a management report, Lucia realized that raw material costs were 20% higher than expected in the last quarter. Which of the following responses would be consistent with the controlling function of management?",Examining the cause of the higher costs,Looking for alternative suppliers,Asking employees in the procurement function for an explanation,All of these responses would be consistent with the controlling function of management,,D
MKTG300,LO1,Q1MKTG300LO1:C,"AMC Theaters offers customers a package that includes two movie tickets, two small drinks and one small popcorn all priced together at $29.99. This pricing technique is called:",price lining.,two-part pricing.,price bundling.,horizontal pricing.,bait pricing.,C
MKTG300,LO1,Q2MKTG300LO1:C,The marketing mix can be described as the:,multiple strategies that can be used to promote a product.,"uncontrollable factors: social, economic, technological, competitive, and regulatory forces to which the marketing manager must constantly adapt.","marketing manager's controllable factors: product, price, promotion, and place--that can be used to solve marketing problems.",multiple channels of distribution by which a product will ultimately reach the consumer.,set of complementary products that when sold together generate more sales than when sold apart.,C
MKTG300,LO1,Q3MKTG300LO1:C,"When Heinz introduced its ketchup globally, it first had to deal with the fact ketchup is not a household staple outside the United States. Heinz had to show foreign users how ketchup can be used. This is an example of how the ________ portion of the marketing mix often needs to be adjusted when an established product is offered in a new market.",Product,Price,Promotion,Placement,Packaging,C
MKTG300,LO2,Q1MKTG300LO2:A,Which of the following statements best describes the typical target market?,"Target markets change over time as consumers drop in or out of the market, and as tastes change.","A target market will remain stable over time, including the same group of consumers.",Target markets are not strongly affected by changes in the external environment.,Target markets only change when the features and benefits of the product offering change.,"Target markets cannot be specifically defined according to age, income, or location, because these factors are continually changing.",A
MKTG300,LO2,Q2MKTG300LO2:A,The purpose of market segmentation is to:,enable the tailoring of marketing mixes to meet the needs of one or more specific groups,reduce the market down to a size the firm can handle,divide the market into equal size and profit regions for sales territories,"group a large number of markets together, enabling a company to serve them simultaneously",develop a generalized definition of the market as a whole,A
MKTG300,LO2,Q3MKTG300LO2:A,"Crate & Barrel’s target consumer in Manhattan has an annual income of between $120,000 and $250,000 while their target consumer in Cincinnati has an annual income of between $80,000 and $200,000. Which economic factor is influencing Crate & Barrel’s decision to target different income brackets with the same products in different cities?",Purchasing Power,Consumer Elasticity,Inflation,Recession,Deflation,A
MKTG300,LO3,Q1MKTG300LO3:E,"One of the reasons given for Apple’s success in the 21st century is the fact that Apple’s ecosystem of products allows for seamless transitions between Apple devices, a feature that consumers have said is important yet other brands have been unable to replicate. This seamless transition is a major ________ for Apple.",Cash Cow,Star Brand,Innovation,Promotion Strategy,Competitive Advantage,E
MKTG300,LO3,Q2MKTG300LO3:E,"In the last year Kroger has seen an overall jump in sales. However, some managers are concerned because Kroger’s percent of total grocery sales in the US is lower this year than it was last year. These managers are concerned because this means that Kroger’s ________ has shrunk.",strategic edge,revenue,competitive position,marketing strategy,market share,E
MKTG300,LO3,Q3MKTG300LO3:E,"Valerie was asked by her employer to conduct a SWOT analysis of the company. Part of this analysis includes assessing the company’s internal environment, including:",Strengths,Opportunities,Threats,Opportunities and strengths,Strengths and weaknesses,E
MKTG300,LO4,Q1MKTG300LO4:E,"Along with its iMac computer line, Apple markets its iPod, iPhone, and Apple TV products. This is an abbreviated listing of the company’s:",customer mix.,product line.,line depth.,product modification.,product mix.,E
MKTG300,LO4,Q2MKTG300LO4:E,"Over the years Cadillac has become to be thought of as “your grandparent’s car.” The new Cadillac ads show a beautiful young woman driving a Cadillac along with the statement, “When you turn your car on, does it turn you on?” This is an example of marketing designed to help _______Cadillac as a car for today’s younger driver.",diversify,display,develop,expand,reposition,E
MKTG300,LO4,Q3MKTG300LO4:E,"A potential disadvantage of multisegment targeting in which new versions of products are offered to attract new customers (e.g. a budget friendly version of a premium product) is __________, which occurs when sales of a new product cut into sales of a firm’s existing products.",synergy,positioning,demarketing,inelastic demand,cannibalization,E
